gemeente_code,neerslag_jul_mm
GM0277,265.47
GM1980,234.37
GM0415,249.25
GM1979,247.28
GM0983,280.86
GM0855,236.47
GM1690,281.51
GM1709,272.64
GM1952,242.82
GM1655,281.54
GM0279,284.62
GM1891,246.84
GM1509,235.31
GM0086,254.11
GM0243,277.27
GM0984,261.37
GM1699,252.49
GM0820,263.68
GM0852,239.07
GM0858,265.31
GM1970,238.49
GM1669,279.9
GM0957,278.55
GM0748,284.07
GM0302,288.27
GM0606,267.77
GM1742,274.85
GM1708,283.3
GM0779,275.47
GM1723,249.16
GM0826,250.34
GM0513,284.94
GM0971,283.5
GM0141,273.44
GM0321,270.89
GM0678,279.15
GM0785,230.82
GM0373,238.59
GM0865,245.28
GM0938,277.54
GM0654,280.92
GM0203,274.35
GM0556,251.85
GM0402,278.95
GM0339,275.98
GM0252,239.26
GM1640,283.62
GM0451,268.61
GM0399,248.25
GM0448,248.26
GM0197,238.21
GM0718,261.23
GM0274,258.61
GM0599,257.77
GM0353,272.88
GM0796,246.53
GM1904,262.58
GM0294,246.85
GM0406,287.49
GM0226,255.64
GM0394,231.33
GM0312,279.6
GM1892,268.43
GM0590,273.32
GM0385,244.14
GM0629,257.85
GM0114,271.31
GM0098,279.06
GM1771,267.22
GM0400,236.45
GM0861,262.25
GM0664,284.73
GM0384,268.35
GM0965,258.45
GM0396,243.84
GM0482,278.44
GM0164,269.45
GM0163,282.03
GM0638,268.34
GM0677,274.31
GM0503,260.08
GM0603,250.85
GM0088,246.32
GM0755,246.07
GM0397,254.34
GM0362,265.14
GM0047,266.41
GM1729,269.18
GM0327,279.78
GM0553,253.54
GM0080,232.63
GM0772,263.86
